;Provincias;Sexo_x;Periodo_x;Total_x;codigo;Provincia;total_hab;Municipios;Sexo_y;Periodo_y;Total_y;CODIGOINE;is_total;Población;Comunidad;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
0;02 Albacete;Total;2019;388.167;02;Albacete;388167;02 Albacete;Total;2019;388167;02;True;Albacete;Castilla La Mancha;38,99765;-1,86007;685,9573;169716;83838;85878
82;03 Alicante/Alacant;Total;2019;1.858.683;03;Alicante;1858683;03 Alicante/Alacant;Total;2019;1858683;03;True;Alicante/Alacant;Valencia;38,3452;-0,481006;16,63256;334757;162853;171904
201;04 Almería;Total;2019;716.820;04;Almería;716820;04 Almería;Total;2019;716820;04;True;Almería;Andalucía;36,84016;-2,467922;27,00703;188810;92396;96414
298;01 Araba/Álava;Total;2019;331.549;01;Álava;331549;01001 Alegría-Dulantzi;Total;2019;2876;01001;False;Alegría-Dulantzi;País Vasco;42,84149;-2,513507;561,6857;2620;1353;1267
344;33 Asturias;Total;2019;1.022.800;33;Asturias;1022800;17105 Mieres;Total;2019;318;17105;False;Mieres;Asturias;43,25179;-5,776198;210,1827;44070;20969;23101
421;05 Ávila;Total;2019;157.640;05;Ávila;157640;05 Ávila;Total;2019;157640;05;True;Ávila;Castilla León;40,65642;-4,700323;1129,841;56855;27485;29370
646;06 Badajoz;Total;2019;673.559;06;Badajoz;673559;06 Badajoz;Total;2019;673559;06;True;Badajoz;Extremadura;38,8786;-6,970284;192,0375;148334;72085;76249
799;07 Balears, Illes;Total;2019;1.149.460;07;Islas Baleares;1149460;07002 Alaior;Total;2019;9065;07002;False;Alaior;Islas Baleares;39,93064;4,139987;114;9257;4643;4614
858;08 Barcelona;Total;2019;5.664.579;08;Barcelona;5664579;08 Barcelona;Total;2019;5664579;08;True;Barcelona;Catalunya;41,38792;2,169919;19,99069;1621537;771570;849967
1141;48 Bizkaia;Total;2019;1.152.651;48;Vizcaya;1152651;48001 Abadiño;Total;2019;7599;48001;False;Abadiño;País Vasco;43,15;-2,610278;139,5298;7260;3647;3613
1252;09 Burgos;Total;2019;356.958;09;Burgos;356958;09 Burgos;Total;2019;356958;09;True;Burgos;Castilla León;42,34087;-3,699731;865,8016;178966;86417;92549
1609;10 Cáceres;Total;2019;394.151;10;Cáceres;394151;10 Cáceres;Total;2019;394151;10;True;Cáceres;Extremadura;39,47618;-6,37076;434,6162;93131;44789;48342
1823;11 Cádiz;Total;2019;1.240.155;11;Cádiz;1240155;11 Cádiz;Total;2019;1240155;11;True;Cádiz;Andalucía;36,52969;-6,292657;15,42415;126766;60289;66477
1862;39 Cantabria;Total;2019;581.078;39;Cantabria;581078;49241 Villaescusa;Total;2019;249;49241;False;Villaescusa;Cantabria;43,37305;-3,850833;22,27066;3581;1813;1768
1962;12 Castellón/Castelló;Total;2019;579.962;12;Castellón;579962;17030 Cabanes;Total;2019;948;17030;False;Cabanes;Valencia;40,15477;0,0454299;282,71;3128;1601;1527
2074;13 Ciudad Real;Total;2019;495.761;13;Ciudad Real;495761;47221 Villanueva de los Infantes;Total;2019;102;47221;False;Villanueva de los Infantes;Castilla La Mancha;38,73712;-3,014678;884,9601;5806;2905;2901
2173;14 Córdoba;Total;2019;782.979;14;Córdoba;782979;14 Córdoba;Total;2019;782979;14;True;Córdoba;Andalucía;37,88473;-4,779152;131,9102;328428;158233;170195
2241;15 Coruña, A;Total;2019;1.119.596;15;La Coruña;1119596;24165 Sobrado;Total;2019;312;24165;False;Sobrado;Galicia;43,042;-8,027381;531,1628;2168;1094;1074
2329;16 Cuenca;Total;2019;196.329;16;Cuenca;196329;35013 Moya;Total;2019;7696;35013;False;Moya;Castilla La Mancha;39,94834;-1,365402;1073,251;214;116;98
2544;20 Gipuzkoa;Total;2019;723.576;20;Guipúzcoa;723576;20001 Abaltzisketa;Total;2019;333;20001;False;Abaltzisketa;País Vasco;43,04758;-2,105388;369,3386;316;178;138
2629;17 Girona;Total;2019;771.044;17;Gerona;771044;46244 Torrent;Total;2019;82208;46244;False;Torrent;Catalunya;41,95246;3,12839;39,58279;193;101;92
